="",="year",="YOB",="GDR",="Total",="Male",="Female",="Obsv_Total",="Obsv_Male",="Obsv_Female"
="r1",=".",=".",=".",=".",=".",=".",=".",=".",="."
"10","2009","1985","0","8.280888","7.925801","8.623495","500","235","265"
"11","2009","1985","0","7.08844","6.88027","7.289294","428","204","224"
"12","2009","1985","0","7.403114","7.487352","7.321835","447","222","225"
"1","2009","1986","0","8.165496","7.402799","8.934169","523","238","285"
"2","2009","1986","0","7.197502","7.402799","6.990596","461","238","223"
"3","2009","1986","0","8.087432","7.931571","8.244514","518","255","263"
"4","2009","1986","0","8.227947","8.304821","8.15047","527","267","260"
"5","2009","1986","0","8.852459","8.584759","9.122257","567","276","291"
"6","2009","1986","0","8.430913","8.491446","8.369906","540","273","267"
"7","2009","1986","0","9.0242","9.082426","8.965517","578","292","286"
"8","2009","1986","0","8.63388","9.269051","7.99373","553","298","255"
"9","2009","1986","0","8.306011","8.460342","8.15047","532","272","260"
"10","2009","1986","0","8.883685","9.206843","8.557994","569","296","273"
"11","2009","1986","0","7.837627","7.651633","8.025078","502","246","256"
"12","2009","1986","0","8.352849","8.211509","8.495298","535","264","271"
"1","2009","1987","0","8.641784","8.460389","8.836761","558","283","275"
"2","2009","1987","0","7.371845","7.294469","7.455013","476","244","232"
"3","2009","1987","0","8.254607","8.609865","7.872751","533","288","245"
"4","2009","1987","0","8.564349","7.922272","9.254499","553","265","288"
"5","2009","1987","0","8.037788","7.772795","8.322622","519","260","259"
"6","2009","1987","0","9.028961","8.759342","9.318766","583","293","290"
"7","2009","1987","0","9.462599","9.835575","9.061697","611","329","282"
"8","2009","1987","0","8.827629","8.908819","8.74036","570","298","272"
"9","2009","1987","0","9.230293","9.058296","9.415167","596","303","293"
"10","2009","1987","0","7.371845","8.041854","6.651671","476","269","207"
"11","2009","1987","0","7.526715","7.294469","7.77635","486","244","242"
"12","2009","1987","0","7.681586","8.041854","7.294344","496","269","227"
"1","2009","1988","0","8.694344","9.099293","8.306333","578","296","282"
"2","2009","1988","0","8.303249","8.699662","7.923417","552","283","269"
"3","2009","1988","0","8.303249","8.484476","8.129602","552","276","276"
"4","2009","1988","0","7.942238","7.961881","7.923417","528","259","269"
"5","2009","1988","0","8.814681","9.037811","8.600884","586","294","292"
"6","2009","1988","0","7.806859","8.084845","7.540501","519","263","256"
"7","2009","1988","0","8.604091","8.576698","8.630339","572","279","293"
"8","2009","1988","0","8.814681","8.607439","9.013255","586","280","306"
"9","2009","1988","0","8.574007","8.330772","8.807069","570","271","299"
"10","2009","1988","0","8.558965","8.023363","9.072165","569","261","308"
"11","2009","1988","0","8.16787","7.93114","8.394698","543","258","285"
"12","2009","1988","0","7.415764","7.162619","7.658321","493","233","260"
"1","2009","1989","0","8.304661","8.433735","8.172315","531","273","258"
"2","2009","1989","0","7.85111","7.846772","7.855559","502","254","248"
"3","2009","1989","0","8.617454","7.754093","9.502692","551","251","300"
"4","2009","1989","0","8.3203","8.402842","8.235667","532","272","260"
"5","2009","1989","0","8.680013","9.082484","8.267342","555","294","261"
"6","2009","1989","0","8.226462","7.908557","8.552423","526","256","270"
"7","2009","1989","0","8.852049","8.958913","8.742477","566","290","276"
"8","2009","1989","0","8.898968","9.113377","8.679126","569","295","274"
"9","2009","1989","0","8.977166","8.958913","8.995882","574","290","284"
"10","2009","1989","0","8.038786","8.1557","7.91891","514","264","250"
"11","2009","1989","0","7.241164","7.414272","7.063668","463","240","223"
"12","2009","1989","0","7.991867","7.970343","8.013937","511","258","253"
"1","2009","1990","0","8.303306","8.44215","8.15534","530","278","252"
"2","2009","1990","0","7.848974","7.804434","7.89644","501","257","244"
"3","2009","1990","0","8.444305","8.533252","8.349515","539","281","258"
"4","2009","1990","0","7.425975","7.01488","7.864078","474","231","243"
"5","2009","1990","0","8.569638","8.472517","8.673139","547","279","268"
"6","2009","1990","0","7.739308","7.531127","7.961165","494","248","246"
"7","2009","1990","0","9.055303","9.687215","8.381877","578","319","259"
"8","2009","1990","0","8.820304","8.654722","8.996764","563","285","278"
"9","2009","1990","0","7.95864","7.348922","8.608414","508","242","266"
"10","2009","1990","0","9.603635","10.2642","8.899676","613","338","275"
"11","2009","1990","0","7.598308","7.531127","7.669903","485","248","237"
"12","2009","1990","0","8.632305","8.715457","8.543689","551","287","264"
"1","2009","1991","0","9.063682","9.004009","9.126088","575","292","283"
"2","2009","1991","0","7.755359","7.678076","7.836182","492","249","243"
"3","2009","1991","0","8.401639","8.202282","8.610126","533","266","267"
"4","2009","1991","0","8.338588","7.801418","8.900355","529","253","276"
"5","2009","1991","0","8.559269","9.158187","7.932925","543","297","246"
"6","2009","1991","0","7.8657","7.554733","8.190906","499","245","254"
"7","2009","1991","0","9.174023","8.942337","9.416317","582","290","292"
"8","2009","1991","0","8.228247","8.84983","7.578201","522","287","235"
"9","2009","1991","0","8.843001","9.06568","8.610126","561","294","267"
"10","2009","1991","0","8.543506","8.510638","8.577878","542","276","266"
"11","2009","1991","0","7.408575","7.277212","7.545953","470","236","234"
"12","2009","1991","0","7.818411","7.955597","7.674944","496","258","238"
"1","2009","1992","0","8.450704","8.110749","8.794466","516","249","267"
"2","2009","1992","0","8.811006","8.859935","8.761528","538","272","266"
"3","2009","1992","0","7.697347","7.947883","7.444005","470","244","226"
"4","2009","1992","0","8.450704","7.882736","9.025033","516","242","274"
"5","2009","1992","0","8.139535","8.436482","7.839262","497","259","238"
"6","2009","1992","0","8.17229","8.534202","7.806324","499","262","237"
"7","2009","1992","0","9.318703","9.087948","9.552042","569","279","290"
"8","2009","1992","0","9.564363","9.869707","9.255599","584","303","281"
"9","2009","1992","0","7.910252","8.045603","7.773386","483","247","236"
"10","2009","1992","0","8.074026","7.71987","8.432148","493","237","256"
"11","2009","1992","0","7.68097","7.947883","7.411067","469","244","225"
"12","2009","1992","0","7.730102","7.557003","7.905138","472","232","240"
"1","2009","1993","0","8.990066","8.864445","9.121736","543","274","269"
"2","2009","1993","0","7.764901","7.63507","7.900983","469","236","233"
"3","2009","1993","0","8.509934","8.605629","8.40963","514","266","248"
"4","2009","1993","0","8.509934","8.249757","8.782638","514","255","259"
"5","2009","1993","0","8.907285","9.252669","8.54527","538","286","252"
"6","2009","1993","0","8.493377","8.637981","8.341811","513","267","246"
"7","2009","1993","0","8.65894","8.832093","8.47745","523","273","250"
"8","2009","1993","0","8.675497","8.087997","9.291285","524","250","274"
"9","2009","1993","0","8.592715","8.540925","8.646999","519","264","255"
"10","2009","1993","0","8.476821","8.637981","8.307901","512","267","245"
"11","2009","1993","0","7.549669","7.376254","7.731434","456","228","228"
"12","2009","1993","0","6.870861","7.279198","6.442862","415","225","190"
"1","2009","1994","0","7.988738","8.805249","7.140294","454","255","199"
"2","2009","1994","0","7.918353","8.01105","7.822031","450","232","218"
"3","2009","1994","0","8.340665","8.356354","8.324363","474","242","232"
"4","2009","1994","0","8.868555","9.150552","8.575529","504","265","239"
"5","2009","1994","0","8.657399","8.90884","8.396125","492","258","234"
"6","2009","1994","0","9.308464","9.150552","9.472551","529","265","264"
"7","2009","1994","0","8.850959","8.736188","8.970219","503","253","250"
"8","2009","1994","0","8.147105","7.734807","8.575529","463","224","239"
"9","2009","1994","0","8.639803","7.838398","9.472551","491","227","264"
"10","2009","1994","0","7.935949","7.320442","8.575529","451","212","239"
"11","2009","1994","0","7.953546","8.287293","7.606746","452","240","212"
"12","2009","1994","0","7.390463","7.700276","7.068532","420","223","197"
"1","2009","1995","0","8.790821","8.922559","8.64564","498","265","233"
"2","2009","1995","0","7.908208","7.474747","8.3859","448","222","226"
"3","2009","1995","0","8.384819","8.552189","8.200371","475","254","221"
"4","2009","1995","0","7.519859","7.609428","7.42115","426","226","200"
"5","2009","1995","0","8.331862","9.393939","7.16141","472","279","193"
"6","2009","1995","0","7.943513","7.878788","8.014842","450","234","216"
"7","2009","1995","0","8.596646","8.114478","9.128015","487","241","246"
"8","2009","1995","0","9.214475","8.686869","9.795918","522","258","264"
"9","2009","1995","0","8.843778","9.225589","8.423006","501","274","227"
"10","2009","1995","0","8.684907","8.350168","9.053803","492","248","244"
"11","2009","1995","0","7.202118","6.936027","7.495362","408","206","202"
"12","2009","1995","0","8.578994","8.855219","8.274583","486","263","223"
"1","2009","1996","0","8.710446","8.739771","8.678711","512","267","245"
"2","2009","1996","0","8.14903","8.183306","8.111938","479","250","229"
"3","2009","1996","0","7.910854","7.92144","7.899398","465","242","223"
"4","2009","1996","0","7.842804","7.986907","7.686858","461","244","217"
"5","2009","1996","0","8.01293","7.266776","8.820404","471","222","249"
"6","2009","1996","0","8.370194","8.379705","8.359901","492","256","236"
"7","2009","1996","0","8.387207","8.445172","8.324478","493","258","235"
"8","2009","1996","0","9.424974","9.983633","8.820404","554","305","249"
"9","2009","1996","0","8.336169","8.477905","8.182784","490","259","231"
"10","2009","1996","0","8.659408","8.93617","8.359901","509","273","236"
"11","2009","1996","0","7.723716","7.070376","8.430747","454","216","238"
"12","2009","1996","0","8.472269","8.608838","8.324478","498","263","235"
"1","2009","1997","0","8.585774","8.754864","8.405396","513","270","243"
"2","2009","1997","0","7.76569","7.619974","7.921135","464","235","229"
"3","2009","1997","0","7.615063","7.619974","7.609824","455","235","220"
"4","2009","1997","0","8.150628","7.749676","8.578347","487","239","248"
"5","2009","1997","0","9.121339","8.787289","9.477689","545","271","274"
"6","2009","1997","0","8.435146","8.398184","8.474576","504","259","245"
"7","2009","1997","0","9.405858","9.273671","9.54687","562","286","276"
"8","2009","1997","0","8.920502","9.306096","8.509166","533","287","246"
"9","2009","1997","0","8.552301","9.533074","7.506053","511","294","217"
"10","2009","1997","0","8.23431","8.365759","8.094085","492","258","234"
"11","2009","1997","0","7.514644","7.198444","7.851954","449","222","227"
"12","2009","1997","0","7.698745","7.392996","8.024905","460","228","232"
"1","2009","1998","0","8.214161","8.033333","8.412582","471","241","230"
"2","2009","1998","0","7.603767","7.066667","8.193124","436","212","224"
"3","2009","1998","0","7.830485","8","7.644477","449","240","209"
"4","2009","1998","0","8.580398","8.733333","8.412582","492","262","230"
"5","2009","1998","0","8.126962","7.933333","8.339429","466","238","228"
"6","2009","1998","0","7.865364","7.9","7.827359","451","237","214"
"7","2009","1998","0","9.626788","9.7","9.546452","552","291","261"
"8","2009","1998","0","8.510638","8.566667","8.449159","488","257","231"
"9","2009","1998","0","9.34775","9.566667","9.107535","536","287","249"
"10","2009","1998","0","8.28392","8.466667","8.083394","475","254","221"
"11","2009","1998","0","7.970003","7.6","8.376006","457","228","229"
"12","2009","1998","0","8.039763","8.433333","7.607901","461","253","208"
"1","2009","1999","0","9.057572","8.899214","9.224398","494","249","245"
"2","2009","1999","0","7.609094","6.969264","8.283133","415","195","220"
"3","2009","1999","0","7.792446","8.077198","7.49247","425","226","199"
"4","2009","1999","0","7.884122","7.862759","7.906627","430","220","210"
"5","2009","1999","0","9.020902","9.042173","8.998494","492","253","239"
"6","2009","1999","0","8.855886","9.042173","8.659639","483","253","230"
"7","2009","1999","0","8.782545","8.541816","9.036145","479","239","240"
"8","2009","1999","0","8.580858","8.756254","8.396084","468","245","223"
"9","2009","1999","0","8.929226","8.899214","8.960843","487","249","238"
"10","2009","1999","0","8.305831","8.291637","8.320783","453","232","221"
"11","2009","1999","0","6.839017","6.826305","6.85241","373","191","182"
"12","2009","1999","0","8.342501","8.791994","7.868976","455","246","209"
"1","2009","2000","0","8.600583","9.202899","7.991202","472","254","218"
"2","2009","2000","0","8.309038","7.608696","9.017595","456","210","246"
"3","2009","2000","0","9.092566","9.130435","9.054252","499","252","247"
"4","2009","2000","0","7.944606","7.971014","7.917889","436","220","216"
"5","2009","2000","0","8.673469","8.478261","8.870968","476","234","242"
"6","2009","2000","0","7.653061","7.536232","7.771261","420","208","212"
"7","2009","2000","0","8.746356","8.985507","8.504399","480","248","232"
"8","2009","2000","0","8.527697","8.405797","8.651026","468","232","236"
"9","2009","2000","0","8.491254","8.876812","8.101173","466","245","221"
"10","2009","2000","0","8.126822","7.572464","8.687683","446","209","237"
"11","2009","2000","0","7.853499","8.586957","7.111437","431","237","194"
"12","2009","2000","0","7.98105","7.644928","8.321114","438","211","227"
"1","2009","2001","0","9.269609","9.529148","8.993235","481","255","226"
"2","2009","2001","0","7.515899","7.99701","7.003581","390","214","176"
"3","2009","2001","0","7.612257","7.623318","7.600478","395","204","191"
"4","2009","2001","0","8.344575","8.594918","8.077994","433","230","203"
"5","2009","2001","0","8.383118","8.781764","7.958615","435","235","200"
"6","2009","2001","0","8.518019","8.109118","8.953442","442","217","225"
"7","2009","2001","0","9.03835","8.781764","9.31158","469","235","234"
"8","2009","2001","0","8.749277","8.856502","8.635097","454","237","217"
"9","2009","2001","0","8.53729","7.99701","9.112614","443","214","229"
"10","2009","2001","0","8.055502","7.884903","8.237167","418","211","207"
"11","2009","2001","0","8.074774","8.109118","8.038201","419","217","202"
"12","2009","2001","0","7.90133","7.735426","8.077994","410","207","203"
"1","2009","2002","0","8.518369","8.356436","8.686702","422","211","211"
"2","2009","2002","0","7.852241","7.405941","8.316179","389","187","202"
"3","2009","2002","0","8.740412","8.356436","9.139564","433","211","222"
"4","2009","2002","0","8.780783","8.950495","8.604364","435","226","209"
"5","2009","2002","0","8.114655","7.80198","8.439687","402","197","205"
"6","2009","2002","0","7.387969","7.643564","7.122273","366","193","173"
"7","2009","2002","0","9.507469","9.386139","9.633594","471","237","234"
"8","2009","2002","0","8.316512","8.435644","8.192672","412","213","199"
"9","2009","2002","0","8.457812","8.356436","8.563195","419","211","208"
"10","2009","2002","0","8.054098","8.435644","7.657472","399","213","186"
"11","2009","2002","0","8.498183","8.514851","8.480856","421","215","206"
"12","2009","2002","0","7.771498","8.356436","7.163442","385","211","174"
"1","2009","2003","0","8.913706","8.803521","9.027205","439","220","219"
"2","2009","2003","0","7.411168","8.043217","6.760099","365","201","164"
"3","2009","2003","0","8.649746","8.163265","9.150866","426","204","222"
"4","2009","2003","0","8","7.322929","8.697444","394","183","211"
"5","2009","2003","0","9.076142","8.723489","9.439406","447","218","229"
"6","2009","2003","0","8.101523","8.163265","8.037923","399","204","195"
"7","2009","2003","0","9.482234","10.04402","8.903545","467","251","216"
"8","2009","2003","0","8.507614","8.323329","8.697444","419","208","211"
"9","2009","2003","0","8.649746","9.443778","7.831822","426","236","190"
"10","2009","2003","0","7.857868","8.123249","7.584501","387","203","184"
"11","2009","2003","0","7.695431","7.563025","7.831822","379","189","190"
"12","2009","2003","0","7.654822","7.282913","8.037923","377","182","195"
"1","2009","2004","0","8.683068","8.514056","8.862378","420","212","208"
"2","2009","2004","0","8.042175","8.15261","7.925011","389","203","186"
"3","2009","2004","0","7.504652","6.947791","8.095441","363","173","190"
"4","2009","2004","0","8.352284","8.353414","8.351086","404","208","196"
"5","2009","2004","0","8.124871","7.911647","8.351086","393","197","196"
"6","2009","2004","0","8.786438","9.196787","8.351086","425","229","196"
"7","2009","2004","0","8.869134","9.236948","8.478909","429","230","199"
"8","2009","2004","0","8.889808","9.317269","8.436302","430","232","198"
"9","2009","2004","0","9.0552","8.714859","9.416276","438","217","221"
"10","2009","2004","0","7.876783","7.951807","7.797188","381","198","183"
"11","2009","2004","0","8.124871","8.433735","7.797188","393","210","183"
"12","2009","2004","0","7.690717","7.269076","8.138049","372","181","191"
"1","2009","2005","0","7.976114","7.988289","7.963446","374","191","183"
"2","2009","2005","0","8.296012","8.281054","8.311575","389","198","191"
"3","2009","2005","0","9.085093","8.448348","9.747607","426","202","224"
"4","2009","2005","0","8.253359","8.95023","7.528285","387","214","173"
"5","2009","2005","0","8.168053","8.573818","7.745866","383","205","178"
"6","2009","2005","0","8.957134","8.531995","9.399478","420","204","216"
"7","2009","2005","0","8.296012","8.281054","8.311575","389","198","191"
"8","2009","2005","0","8.594583","9.075701","8.093995","403","217","186"
"9","2009","2005","0","8.935807","8.490171","9.399478","419","203","216"
"10","2009","2005","0","7.976114","7.862819","8.093995","374","188","186"
"11","2009","2005","0","7.464278","7.193643","7.745866","350","172","178"
"12","2009","2005","0","7.997441","8.322877","7.658834","375","199","176"
"1","2009","2006","0","8.358795","8.022797","8.691873","383","183","200"
"2","2009","2006","0","7.813182","7.759754","7.866145","358","177","181"
"3","2009","2006","0","8.053252","8.198159","7.909605","369","187","182"
"4","2009","2006","0","8.402444","8.505042","8.300739","385","194","191"
"5","2009","2006","0","8.642514","8.943446","8.344198","396","204","192"
"6","2009","2006","0","9.908337","10.21482","9.60452","454","233","221"
"7","2009","2006","0","9.340899","9.118808","9.56106","428","208","220"
"8","2009","2006","0","8.577041","8.680403","8.474576","393","198","195"
"9","2009","2006","0","8.882584","8.505042","9.256845","407","194","213"
"10","2009","2006","0","7.944129","7.935116","7.953064","364","181","183"
"11","2009","2006","0","7.22392","7.102148","7.344633","331","162","169"
"12","2009","2006","0","6.852903","7.014467","6.692742","314","160","154"
"1","2009","2007","0","8.932125","9.56296","8.273056","404","221","183"
"2","2009","2007","0","7.627681","7.745565","7.504521","345","179","166"
"3","2009","2007","0","7.583462","7.91865","7.233273","343","183","160"
"4","2009","2007","0","7.605572","8.048464","7.142857","344","186","158"
"5","2009","2007","0","8.246739","7.961921","8.544304","373","184","189"
"6","2009","2007","0","7.008623","6.880138","7.142857","317","159","158"
"7","2009","2007","0","9.440637","8.610991","10.30741","427","199","228"
"8","2009","2007","0","8.932125","9.216789","8.63472","404","213","191"
"9","2009","2007","0","8.755251","9.173518","8.318264","396","212","184"
"10","2009","2007","0","8.799469","8.178278","9.448463","398","189","209"
"11","2009","2007","0","8.48994","7.875379","9.132007","384","182","202"
"12","2009","2007","0","8.578377","8.827347","8.318264","388","204","184"
"1","2009","2008","0","8.820212","9.607757","7.994455","391","218","173"
"2","2009","2008","0","7.602075","7.227854","7.994455","337","164","173"
"3","2009","2008","0","7.963005","7.668576","8.271719","353","174","179"
"4","2009","2008","0","7.985563","8.021155","7.948244","354","182","172"
"5","2009","2008","0","8.933002","8.9026","8.96488","396","202","194"
"6","2009","2008","0","8.346492","7.756721","8.96488","370","176","194"
"7","2009","2008","0","8.820212","9.519612","8.086876","391","216","175"
"8","2009","2008","0","9.31649","8.9026","9.750462","413","202","211"
"9","2009","2008","0","8.211144","8.682239","7.71719","364","197","167"
"10","2009","2008","0","8.526957","7.800793","9.288355","378","177","201"
"11","2009","2008","0","7.534401","8.065227","6.977819","334","183","151"
"12","2009","2008","0","7.940447","7.844866","8.040665","352","178","174"
"1","2010","1950","0","9.399515","9.526542","9.273965","659","332","327"
"2","2010","1950","0","8.458137","8.579627","8.33806","593","299","294"
"3","2010","1950","0","8.700613","8.292683","9.1038","610","289","321"
"4","2010","1950","0","8.215661","7.977044","8.451503","576","278","298"
"5","2010","1950","0","8.500927","8.550933","8.451503","596","298","298"
"6","2010","1950","0","7.659392","7.48924","7.827567","537","261","276"
"7","2010","1950","0","8.672087","7.94835","9.387408","608","277","331"
"8","2010","1950","0","8.586507","9.096126","8.082813","602","317","285"
"9","2010","1950","0","7.773499","7.575323","7.96937","545","264","281"
"10","2010","1950","0","8.115818","8.780488","7.458877","569","306","263"
"11","2010","1950","0","8.358294","8.292683","8.423142","586","289","297"
"12","2010","1950","0","7.559549","7.890961","7.231991","530","275","255"
"1","2010","1951","0","8.974178","9.202814","8.761905","636","314","322"
"2","2010","1951","0","7.887682","7.415006","8.326531","559","253","306"
"3","2010","1951","0","9.115282","9.525205","8.734694","646","325","321"
"4","2010","1951","0","8.677861","8.089097","9.22449","615","276","339"
"5","2010","1951","0","8.931847","8.880422","8.979592","633","303","330"
"6","2010","1951","0","8.593199","8.55803","8.62585","609","292","317"
"7","2010","1951","0","8.367433","8.528722","8.217687","593","291","302"
"8","2010","1951","0","8.310992","8.528722","8.108844","589","291","298"
"9","2010","1951","0","8.63553","8.440797","8.816327","612","288","324"
"10","2010","1951","0","7.873571","8.323564","7.455782","558","284","274"
"11","2010","1951","0","7.041061","7.268464","6.829932","499","248","251"
"12","2010","1951","0","7.591364","7.239156","7.918367","538","247","291"
"1","2010","1952","0","8.49437","8.553566","8.43767","611","301","310"
"2","2010","1952","0","8.313638","8.638818","8.002177","598","304","294"
"3","2010","1952","0","9.064368","9.178744","8.954818","652","323","329"
"4","2010","1952","0","8.43876","8.525149","8.356015","607","300","307"
"5","2010","1952","0","8.828027","8.525149","9.118127","635","300","335"
"6","2010","1952","0","8.43876","8.354646","8.519325","607","294","313"
"7","2010","1952","0","8.466565","8.184143","8.737071","609","288","321"
"8","2010","1952","0","7.618518","7.81472","7.430593","548","275","273"
"9","2010","1952","0","7.771444","7.729469","7.811649","559","272","287"
"10","2010","1952","0","8.202419","8.184143","8.219924","590","288","302"
"11","2010","1952","0","8.063395","7.871554","8.247142","580","277","303"
"12","2010","1952","0","8.299736","8.439898","8.165487","597","297","300"
"1","2010","1953","0","8.879145","9.259773","8.50718","648","334","314"
"2","2010","1953","0","8.0433","8.150818","7.938228","587","294","293"
"3","2010","1953","0","9.153193","8.566676","9.726361","668","309","359"
"4","2010","1953","0","8.892847","9.45384","8.344622","649","341","308"
"5","2010","1953","0","9.016169","8.400333","9.61799","658","303","355"
"6","2010","1953","0","7.741847","7.818131","7.667299","565","282","283"
"7","2010","1953","0","8.194026","8.261713","8.127879","598","298","300"
"8","2010","1953","0","8.577693","8.511228","8.642644","626","307","319"
"9","2010","1953","0","7.769252","7.59634","7.938228","567","274","293"
"10","2010","1953","0","8.180323","8.511228","7.856949","597","307","290"
"11","2010","1953","0","7.577418","7.624064","7.531834","553","275","278"
"12","2010","1953","0","7.974788","7.845855","8.100786","582","283","299"
"1","2010","1954","0","9.012705","9.490239","8.557394","681","350","331"
"2","2010","1954","0","8.827422","8.649675","8.996898","667","319","348"
"3","2010","1954","0","8.800953","8.866594","8.738366","665","327","338"
"4","2010","1954","0","8.152462","7.781996","8.505688","616","287","329"
"5","2010","1954","0","9.277395","8.785249","9.746639","701","324","377"
"6","2010","1954","0","8.337745","8.785249","7.911065","630","324","306"
"7","2010","1954","0","8.298041","8.053145","8.531541","627","297","330"
"8","2010","1954","0","8.231869","7.890456","8.557394","622","291","331"
"9","2010","1954","0","8.509794","9.137744","7.911065","643","337","306"
"10","2010","1954","0","7.848068","8.053145","7.652534","593","297","296"
"11","2010","1954","0","7.212811","7.266811","7.161324","545","268","277"
"12","2010","1954","0","7.490736","7.239696","7.730093","566","267","299"
"1","2010","1955","0","8.707229","8.856988","8.562451","654","327","327"
"2","2010","1955","0","8.587405","8.586132","8.588636","645","317","328"
"3","2010","1955","0","9.133271","8.586132","9.662215","686","317","369"
"4","2010","1955","0","8.241246","8.559047","7.934014","619","316","303"
"5","2010","1955","0","8.747171","9.344529","8.169678","657","345","312"
"6","2010","1955","0","8.321129","8.315276","8.326787","625","307","318"
"7","2010","1955","0","8.614033","8.586132","8.641005","647","317","330"
"8","2010","1955","0","8.108108","8.04442","8.169678","609","297","312"
"9","2010","1955","0","8.094794","8.04442","8.143493","608","297","311"
"10","2010","1955","0","7.961656","7.719393","8.195863","598","285","313"
"11","2010","1955","0","7.881773","7.638137","8.117308","592","282","310"
"12","2010","1955","0","7.602183","7.719393","7.488871","571","285","286"
"1","2010","1956","0","8.270581","8.355023","8.189331","648","321","327"
"2","2010","1956","0","8.487556","7.938574","9.015778","665","305","360"
"3","2010","1956","0","9.508615","9.50026","9.516654","745","365","380"
"4","2010","1956","0","8.85769","8.355023","9.341347","694","321","373"
"5","2010","1956","0","8.576899","8.615305","8.539945","672","331","341"
"6","2010","1956","0","8.321634","8.563248","8.089156","652","329","323"
"7","2010","1956","0","7.938736","7.860489","8.014025","622","302","320"
"8","2010","1956","0","8.142948","8.40708","7.888805","638","323","315"
"9","2010","1956","0","8.296107","7.964602","8.615076","650","306","344"
"10","2010","1956","0","7.798341","8.250911","7.362885","611","317","294"
"11","2010","1956","0","7.300574","7.287871","7.312797","572","280","292"
"12","2010","1956","0","8.500319","8.901614","8.1142","666","342","324"
"1","2010","1957","0","8.557576","8.347488","8.767256","706","344","362"
"2","2010","1957","0","8.169697","8.104829","8.234439","674","334","340"
"3","2010","1957","0","8.484848","8.76001","8.21022","700","361","339"
"4","2010","1957","0","8.472727","8.565882","8.379753","699","353","346"
"5","2010","1957","0","8.945455","8.832808","9.057883","738","364","374"
"6","2010","1957","0","7.927273","8.177627","7.677404","654","337","317"
"7","2010","1957","0","8.775758","8.905605","8.646161","724","367","357"
"8","2010","1957","0","8.751515","8.51735","8.985226","722","351","371"
"9","2010","1957","0","8.763636","9.099733","8.428191","723","375","348"
"10","2010","1957","0","7.745455","7.473914","8.016469","639","308","331"
"11","2010","1957","0","7.757576","7.401116","8.113345","640","305","335"
"12","2010","1957","0","7.648485","7.813637","7.483652","631","322","309"
"1","2010","1958","0","8.818236","8.175326","9.429106","735","332","403"
"2","2010","1958","0","7.822436","7.682837","7.955077","652","312","340"
"3","2010","1958","0","9.142172","9.283428","9.007955","762","377","385"
"4","2010","1958","0","8.854229","8.544693","9.148339","738","347","391"
"5","2010","1958","0","9.058188","9.357301","8.773982","755","380","375"
"6","2010","1958","0","7.606479","8.076828","7.159569","634","328","306"
"7","2010","1958","0","7.558488","7.288845","7.814693","630","296","334"
"8","2010","1958","0","7.930414","7.830584","8.025269","661","318","343"
"9","2010","1958","0","8.794241","8.889436","8.70379","733","361","372"
"10","2010","1958","0","8.818236","9.529672","8.142255","735","387","348"
"11","2010","1958","0","8.038392","7.904457","8.165653","670","321","349"
"12","2010","1958","0","7.558488","7.436592","7.67431","630","302","328"
"1","2010","1959","0","9.313275","9.282604","9.344074","811","405","406"
"2","2010","1959","0","8.130455","7.815723","8.44649","708","341","367"
"3","2010","1959","0","9.198438","9.328444","9.067894","801","407","394"
"4","2010","1959","0","8.096004","7.976163","8.216341","705","348","357"
"5","2010","1959","0","9.244373","9.351364","9.136939","805","408","397"
"6","2010","1959","0","8.17639","7.930323","8.423475","712","346","366"
"7","2010","1959","0","8.429031","8.549163","8.3084","734","373","361"
"8","2010","1959","0","8.164906","8.640843","7.686997","711","377","334"
"9","2010","1959","0","8.279743","8.067843","8.49252","721","352","369"
"10","2010","1959","0","7.86633","7.838643","7.894131","685","342","343"
"11","2010","1959","0","7.154341","7.105203","7.203682","623","310","313"
"12","2010","1959","0","7.946716","8.113683","7.779056","692","354","338"
"1","2010","1960","0","8.424665","8.152665","8.686211","761","361","400"
"2","2010","1960","0","8.967121","8.762421","9.163952","810","388","422"
"3","2010","1960","0","8.878556","9.552846","8.230185","802","423","379"
"4","2010","1960","0","8.214325","8.265583","8.165038","742","366","376"
"5","2010","1960","0","8.181114","8.039747","8.317047","739","356","383"
"6","2010","1960","0","8.989262","9.123758","8.859935","812","404","408"
"7","2010","1960","0","8.513229","8.62692","8.403909","769","382","387"
"8","2010","1960","0","8.136832","7.813911","8.44734","735","346","389"
"9","2010","1960","0","8.170043","8.084914","8.2519","738","358","380"
"10","2010","1960","0","8.09255","8.084914","8.099891","731","358","373"
"11","2010","1960","0","7.527953","7.271906","7.774159","680","322","358"
"12","2010","1960","0","7.904351","8.220416","7.600434","714","364","350"
"1","2010","1961","0","8.700441","8.158813","9.252669","790","374","416"
"2","2010","1961","0","8.546256","8.616928","8.474199","776","395","381"
"3","2010","1961","0","8.810573","9.336824","8.274021","800","428","372"
"4","2010","1961","0","8.76652","9.075044","8.451957","796","416","380"
"5","2010","1961","0","8.975771","8.900524","9.052491","815","408","407"
"6","2010","1961","0","7.995595","7.918848","8.073843","726","363","363"
"7","2010","1961","0","7.345815","7.417103","7.273132","667","340","327"
"8","2010","1961","0","8.160793","8.747818","7.562278","741","401","340"
"9","2010","1961","0","8.557269","8.398778","8.718861","777","385","392"
"10","2010","1961","0","8.171806","7.940663","8.407473","742","364","378"
